"14834 Pomerado Rd, Poway, CA 92064",1,DISORD CONDUCT:ALC,14800  POMERADO ROAD,14800, POMERADO ROAD  ,Poway,CA,92064,14800  POMERADO ROAD,,,POMERADO,ROAD,,,,,,
"14835 Pomerado Rd, Poway, CA 92064",1,SHOPLIFTING,14800  POMERADO ROAD,14800, POMERADO ROAD  ,Poway,CA,92064,14800  POMERADO ROAD,,,POMERADO,ROAD,,,,,,
"14836 Pomerado Rd, Poway, CA 92064",1,POSSESS CONTROLLED SUBSTANCE (M),14800  POMERADO ROAD,14800, POMERADO ROAD  ,Poway,CA,92064,14800  POMERADO ROAD,,,POMERADO,ROAD,,,,,,
"14837 Pomerado Rd, Poway, CA 92064",1,RESIDENTIAL BURGLARY,14700  SHADOWBROOK COURT,14700, SHADOWBROOK COURT  ,Poway,CA,92064,14700  SHADOWBROOK COURT,,,SHADOWBROOK,COURT,,,,,,
"14838 Pomerado Rd, Poway, CA 92064",1,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT (F),14800  SUMMERBREEZE WAY,14800, SUMMERBREEZE WAY  ,Poway,CA,92064,14800  SUMMERBREEZE WAY,,,SUMMERBREEZE,WAY,,,,,,
"14839 Pomerado Rd, Poway, CA 92064",1,SHOPLIFTING (M),14800  POMERADO ROAD,14800, POMERADO ROAD  ,Poway,CA,92064,14800  POMERADO ROAD,,,POMERADO,ROAD,,,,,,
"14840 Pomerado Rd, Poway, CA 92064",1,DUI ALCOHOL (M),POMERADO ROAD & TWIN PEAKS ROAD,,ROAD & TWIN PEAKS ROAD,Poway,CA,92064,POMERADO ROAD & TWIN PEAKS ROAD,,ROAD,&,TWIN,PEAKS,ROAD,,,,
"14841 Pomerado Rd, Poway, CA 92064",1,DUI ALCOHOL (M),14900  POMERADO ROAD,14900, POMERADO ROAD  ,Poway,CA,92064,14900  POMERADO ROAD,,,POMERADO,ROAD,,,,,,
"14842 Pomerado Rd, Poway, CA 92064",1,POSS CONTROLLED SUBS PARAPHERNALIA (M),14800  POMERADO ROAD,14800, POMERADO ROAD  ,Poway,CA,92064,14800  POMERADO ROAD,,,POMERADO,ROAD,,,,,,
"14843 Pomerado Rd, Poway, CA 92064",1,PETTY THEFT(Shoplift) (M),14800  POMERADO ROAD,14800, POMERADO ROAD  ,Poway,CA,92064,14800  POMERADO ROAD,,,POMERADO,ROAD,,,,,,
"14844 Pomerado Rd, Poway, CA 92064",1,PETTY THEFT(Shoplift) (M),14800  POMERADO ROAD,14800, POMERADO ROAD  ,Poway,CA,92064,14800  POMERADO ROAD,,,POMERADO,ROAD,,,,,,
"17170 Camino Del Sur, San Diego, CA 92127",2,SIMPLE BATTERY (M),16600  NIGHTHAWK LANE,16600, NIGHTHAWK LANE  ,San Diego,CA,92127,16600  NIGHTHAWK LANE,,,NIGHTHAWK,LANE,,,,,,
"17171 Camino Del Sur, San Diego, CA 92127",2,VANDALISM ($400 OR MORE) (F),16000  BABCOCK STREET,16000, BABCOCK STREET  ,San Diego,CA,92127,16000  BABCOCK STREET,,,BABCOCK,STREET,,,,,,
"17172 Camino Del Sur, San Diego, CA 92127",2,FRAUD,16000  BABCOCK STREET,16000, BABCOCK STREET  ,San Diego,CA,92127,16000  BABCOCK STREET,,,BABCOCK,STREET,,,,,,
"17173 Camino Del Sur, San Diego, CA 92127",2,VANDALISM ($400 OR MORE) (F),16300  PASEO DEL SUR,16300, PASEO DEL SUR ,San Diego,CA,92127,16300  PASEO DEL SUR,,,PASEO,DEL,SUR,,,,,
"17174 Camino Del Sur, San Diego, CA 92127",2,GRAND THEFT (Shoplifting) (F),17100  CAMINO DEL SUR,17100, CAMINO DEL SUR ,San Diego,CA,92127,17100  CAMINO DEL SUR,,,CAMINO,DEL,SUR,,,,,
"17175 Camino Del Sur, San Diego, CA 92127",2,RESIDENTIAL BURGLARY,15900  ATKINS PLACE,15900, ATKINS PLACE  ,San Diego,CA,92127,15900  ATKINS PLACE,,,ATKINS,PLACE,,,,,,
"17176 Camino Del Sur, San Diego, CA 92127",2,RESIDENTIAL BURGLARY,15800  ATKINS PLACE,15800, ATKINS PLACE  ,San Diego,CA,92127,15800  ATKINS PLACE,,,ATKINS,PLACE,,,,,,
"17177 Camino Del Sur, San Diego, CA 92127",2,PETTY THEFT(Shoplift) (M),17100  CAMINO DEL SUR,17100, CAMINO DEL SUR ,San Diego,CA,92127,17100  CAMINO DEL SUR,,,CAMINO,DEL,SUR,,,,,
"17178 Camino Del Sur, San Diego, CA 92127",2,COMMERCIAL BURGLARY,16400  PASEO DEL SUR,16400, PASEO DEL SUR ,San Diego,CA,92127,16400  PASEO DEL SUR,,,PASEO,DEL,SUR,,,,,
"17179 Camino Del Sur, San Diego, CA 92127",2,COMMERCIAL BURGLARY,16400  PASEO DEL SUR,16400, PASEO DEL SUR ,San Diego,CA,92127,16400  PASEO DEL SUR,,,PASEO,DEL,SUR,,,,,
"17180 Camino Del Sur, San Diego, CA 92127",2,PETTY THEFT(Shoplift) (M),17100  CAMINO DEL SUR,17100, CAMINO DEL SUR ,San Diego,CA,92127,17100  CAMINO DEL SUR,,,CAMINO,DEL,SUR,,,,,
"17181 Camino Del Sur, San Diego, CA 92127",2,PETTY THEFT(Shoplift) (M),17100  CAMINO DEL SUR,17100, CAMINO DEL SUR ,San Diego,CA,92127,17100  CAMINO DEL SUR,,,CAMINO,DEL,SUR,,,,,
"17182 Camino Del Sur, San Diego, CA 92127",2,PETTY THEFT(Shoplift) (M),17100  CAMINO DEL SUR,17100, CAMINO DEL SUR ,San Diego,CA,92127,17100  CAMINO DEL SUR,,,CAMINO,DEL,SUR,,,,,
"17183 Camino Del Sur, San Diego, CA 92127",2,VANDALISM ($400 OR MORE) (F),16300  PASEO DEL SUR,16300, PASEO DEL SUR ,San Diego,CA,92127,16300  PASEO DEL SUR,,,PASEO,DEL,SUR,,,,,
"17184 Camino Del Sur, San Diego, CA 92127",2,PETTY THEFT(All Other Larceny) (M),17100  CAMINO DEL SUR,17100, CAMINO DEL SUR ,San Diego,CA,92127,17100  CAMINO DEL SUR,,,CAMINO,DEL,SUR,,,,,
"17185 Camino Del Sur, San Diego, CA 92127",2,COMMERCIAL BURGLARY,17000  DEL SUR RIDGE ROAD,17000, DEL SUR RIDGE ROAD,San Diego,CA,92127,17000  DEL SUR RIDGE ROAD,,,DEL,SUR,RIDGE,ROAD,,,,
"17186 Camino Del Sur, San Diego, CA 92127",2,GRAND THEFT:MONEY/LABOR/PROPERTY (F),17100  CAMINO DEL SUR,17100, CAMINO DEL SUR ,San Diego,CA,92127,17100  CAMINO DEL SUR,,,CAMINO,DEL,SUR,,,,,
"17187 Camino Del Sur, San Diego, CA 92127",2,SIMPLE BATTERY (M),16600  NIGHTHAWK LANE,16600, NIGHTHAWK LANE  ,San Diego,CA,92127,16600  NIGHTHAWK LANE,,,NIGHTHAWK,LANE,,,,,,
"17188 Camino Del Sur, San Diego, CA 92127",2,PETTY THEFT(Shoplift) (M),17100  CAMINO DEL SUR,17100, CAMINO DEL SUR ,San Diego,CA,92127,17100  CAMINO DEL SUR,,,CAMINO,DEL,SUR,,,,,
"17189 Camino Del Sur, San Diego, CA 92127",2,SHOPLIFTING (M),17100  CAMINO DEL SUR,17100, CAMINO DEL SUR ,San Diego,CA,92127,17100  CAMINO DEL SUR,,,CAMINO,DEL,SUR,,,,,
"17190 Camino Del Sur, San Diego, CA 92127",2,BATTERY ON PERSON (M),15800  CAMINO SAN BERNARDO,15800, CAMINO SAN BERNARDO ,San Diego,CA,92127,15800  CAMINO SAN BERNARDO,,,CAMINO,SAN,BERNARDO,,,,,
"17191 Camino Del Sur, San Diego, CA 92127",2,GRAND THEFT:MONEY/LABOR/PROPERTY (F),17100  CAMINO DEL SUR,17100, CAMINO DEL SUR ,San Diego,CA,92127,17100  CAMINO DEL SUR,,,CAMINO,DEL,SUR,,,,,
"17192 Camino Del Sur, San Diego, CA 92127",2,GRAND THEFT:AUTO,17100  CAMINO DEL SUR,17100, CAMINO DEL SUR ,San Diego,CA,92127,17100  CAMINO DEL SUR,,,CAMINO,DEL,SUR,,,,,
"17193 Camino Del Sur, San Diego, CA 92127",2,VEHICLE BREAK-IN/THEFT,17100  CAMINO DEL SUR,17100, CAMINO DEL SUR ,San Diego,CA,92127,17100  CAMINO DEL SUR,,,CAMINO,DEL,SUR,,,,,
"17194 Camino Del Sur, San Diego, CA 92127",2,VEHICLE BREAK-IN/THEFT,15900  PARKVIEW LOOP,15900, PARKVIEW LOOP  ,San Diego,CA,92127,15900  PARKVIEW LOOP,,,PARKVIEW,LOOP,,,,,,
"17195 Camino Del Sur, San Diego, CA 92127",2,SPOUSAL/COHABITANT ABUSE WITH MINOR INJURY (F),10300  RESERVE DRIVE,10300, RESERVE DRIVE  ,San Diego,CA,92127,10300  RESERVE DRIVE,,,RESERVE,DRIVE,,,,,,
"17196 Camino Del Sur, San Diego, CA 92127",2,GRAND THEFT:MONEY/LABOR/PROPERTY (F),16600  NIGHTHAWK LANE,16600, NIGHTHAWK LANE  ,San Diego,CA,92127,16600  NIGHTHAWK LANE,,,NIGHTHAWK,LANE,,,,,,
"17197 Camino Del Sur, San Diego, CA 92127",2,PETTY THEFT(All Other Larceny) (M),16000  BABCOCK STREET,16000, BABCOCK STREET  ,San Diego,CA,92127,16000  BABCOCK STREET,,,BABCOCK,STREET,,,,,,
"17198 Camino Del Sur, San Diego, CA 92127",2,FRAUD,15700  TANNER RIDGE ROAD,15700, TANNER RIDGE ROAD ,San Diego,CA,92127,15700  TANNER RIDGE ROAD,,,TANNER,RIDGE,ROAD,,,,,
"17199 Camino Del Sur, San Diego, CA 92127",2,COMMERCIAL BURGLARY,16400  PASEO DEL SUR,16400, PASEO DEL SUR ,San Diego,CA,92127,16400  PASEO DEL SUR,,,PASEO,DEL,SUR,,,,,
"17200 Camino Del Sur, San Diego, CA 92127",2,PETTY THEFT(All Other Larceny) (M),17100  CAMINO DEL SUR,17100, CAMINO DEL SUR ,San Diego,CA,92127,17100  CAMINO DEL SUR,,,CAMINO,DEL,SUR,,,,,
"280 E Via Rancho Pkwy, Escondido, CA 92025",3,GRAND THEFT:MONEY/LABOR/PROPERTY (F),200  VIA RANCHO PARKWAY,200, VIA RANCHO PARKWAY ,Escondido,CA,92025,200  VIA RANCHO PARKWAY,,,VIA,RANCHO,PARKWAY,,,,,
"281 E Via Rancho Pkwy, Escondido, CA 92025",3,PETTY THEFT(Shoplift) (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"282 E Via Rancho Pkwy, Escondido, CA 92025",3,DISORD CONDUCT:ALC (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"283 E Via Rancho Pkwy, Escondido, CA 92025",3,PETTY THEFT(Shoplift) (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"284 E Via Rancho Pkwy, Escondido, CA 92025",3,POSS CONTROLLED SUBS FOR SALE,3600  SUNSET DRIVE,3600, SUNSET DRIVE  ,Escondido,CA,92025,3600  SUNSET DRIVE,,,SUNSET,DRIVE,,,,,,
"285 E Via Rancho Pkwy, Escondido, CA 92025",3,POSSESS CONTROLLED SUBSTANCE,3600  SUNSET DRIVE,3600, SUNSET DRIVE  ,Escondido,CA,92025,3600  SUNSET DRIVE,,,SUNSET,DRIVE,,,,,,
"286 E Via Rancho Pkwy, Escondido, CA 92025",3,GRAND THEFT (Shoplifting) (F),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"287 E Via Rancho Pkwy, Escondido, CA 92025",3,SHOPLIFTING (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"288 E Via Rancho Pkwy, Escondido, CA 92025",3,PETTY THEFT(Shoplift) (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"289 E Via Rancho Pkwy, Escondido, CA 92025",3,VANDALISM ($400 OR MORE) (F),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"290 E Via Rancho Pkwy, Escondido, CA 92025",3,PETTY THEFT(Shoplift) (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"291 E Via Rancho Pkwy, Escondido, CA 92025",3,SHOPLIFTING (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"292 E Via Rancho Pkwy, Escondido, CA 92025",3,PETTY THEFT(Shoplift) (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"293 E Via Rancho Pkwy, Escondido, CA 92025",3,PETTY THEFT(All Other Larceny) (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"294 E Via Rancho Pkwy, Escondido, CA 92025",3,PETTY THEFT(Shoplift) (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"295 E Via Rancho Pkwy, Escondido, CA 92025",3,PETTY THEFT(Shoplift) (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"296 E Via Rancho Pkwy, Escondido, CA 92025",3,SHOPLIFTING (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"297 E Via Rancho Pkwy, Escondido, CA 92025",3,SHOPLIFTING (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"298 E Via Rancho Pkwy, Escondido, CA 92025",3,GRAND THEFT (Shoplifting) (F),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"299 E Via Rancho Pkwy, Escondido, CA 92025",3,PETTY THEFT(All Other Larceny) (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"300 E Via Rancho Pkwy, Escondido, CA 92025",3,SHOPLIFTING (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"301 E Via Rancho Pkwy, Escondido, CA 92025",3,PETTY THEFT (SHOPLIFT) W/2+ PRIOR CONVICTIONS (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"302 E Via Rancho Pkwy, Escondido, CA 92025",3,GRAND THEFT (Shoplifting) (F),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"303 E Via Rancho Pkwy, Escondido, CA 92025",3,COMMERCIAL ROBBERY - NO WEAPON,200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"304 E Via Rancho Pkwy, Escondido, CA 92025",3,PETTY THEFT(Shoplift) (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"305 E Via Rancho Pkwy, Escondido, CA 92025",3,PETTY THEFT (SHOPLIFT) W/2+ PRIOR CONVICTIONS (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"306 E Via Rancho Pkwy, Escondido, CA 92025",3,PETTY THEFT(Shoplift) (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"307 E Via Rancho Pkwy, Escondido, CA 92025",3,GRAND THEFT (Shoplifting) (F),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"308 E Via Rancho Pkwy, Escondido, CA 92025",3,GRAND THEFT (Shoplifting) (F),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"309 E Via Rancho Pkwy, Escondido, CA 92025",3,SHOPLIFTING (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"310 E Via Rancho Pkwy, Escondido, CA 92025",3,SHOPLIFTING (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"311 E Via Rancho Pkwy, Escondido, CA 92025",3,PETTY THEFT(All Other Larceny) (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"312 E Via Rancho Pkwy, Escondido, CA 92025",3,PETTY THEFT(Shoplift) (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"313 E Via Rancho Pkwy, Escondido, CA 92025",3,GRAND THEFT (Shoplifting) (F),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"314 E Via Rancho Pkwy, Escondido, CA 92025",3,SHOPLIFTING (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"315 E Via Rancho Pkwy, Escondido, CA 92025",3,PETTY THEFT(Shoplift) (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"316 E Via Rancho Pkwy, Escondido, CA 92025",3,SHOPLIFTING (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"317 E Via Rancho Pkwy, Escondido, CA 92025",3,SHOPLIFTING (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"318 E Via Rancho Pkwy, Escondido, CA 92025",3,SHOPLIFTING (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"319 E Via Rancho Pkwy, Escondido, CA 92025",3,VEHICLE BREAK-IN/THEFT,200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"320 E Via Rancho Pkwy, Escondido, CA 92025",3,GRAND THEFT (Shoplifting) (F),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"321 E Via Rancho Pkwy, Escondido, CA 92025",3,PETTY THEFT(All Other Larceny) (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"322 E Via Rancho Pkwy, Escondido, CA 92025",3,SHOPLIFTING (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"323 E Via Rancho Pkwy, Escondido, CA 92025",3,SHOPLIFTING (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"324 E Via Rancho Pkwy, Escondido, CA 92025",3,SHOPLIFTING (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"325 E Via Rancho Pkwy, Escondido, CA 92025",3,SHOPLIFTING (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"326 E Via Rancho Pkwy, Escondido, CA 92025",3,PETTY THEFT(Shoplift) (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"327 E Via Rancho Pkwy, Escondido, CA 92025",3,GRAND THEFT (Shoplifting) (F),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"328 E Via Rancho Pkwy, Escondido, CA 92025",3,POSS NARCOTIC CONTROLLED SUBS (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"329 E Via Rancho Pkwy, Escondido, CA 92025",3,PETTY THEFT(Shoplift) (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"330 E Via Rancho Pkwy, Escondido, CA 92025",3,PETTY THEFT W/2 PRIOR CONVICTIONS (F),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"331 E Via Rancho Pkwy, Escondido, CA 92025",3,SHOPLIFTING (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"332 E Via Rancho Pkwy, Escondido, CA 92025",3,SHOPLIFTING (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
"333 E Via Rancho Pkwy, Escondido, CA 92025",3,PETTY THEFT(Shoplift) (M),200 E  VIA RANCHO PARKWAY,200,E  VIA RANCHO PARKWAY,Escondido,CA,92025,200 E  VIA RANCHO PARKWAY,,E,,VIA,RANCHO,PARKWAY,,,,
