Store ,StreetNum,Crime,,Store Address,,,
Target,1280,PETTY THEFT(Shoplift) (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,VEHICLE BREAK-IN/THEFT,,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,GRAND THEFT (SHOPLIFT) W/2+ PRIOR CONVICTIONS (F),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,POSSESS CONTROLLED SUBSTANCE (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,DISORDERLY CONDUCT:INTOX DRUG WITH ALCOHOL (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,PETTY THEFT(Shoplift) (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,PETTY THEFT(Shoplift) (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,POSS CONTROLLED SUBS PARAPHERNALIA (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,DUI ALCOHOL (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,CARRY CONCEALED DIRK OR DAGGER (F),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,PROSTITUTION,,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,OTHER SEX CRIME,,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,STREET ROBBERY - WEAPON USED,,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,PETTY THEFT(Shoplift) (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,GRAND THEFT (ALL OTHER LARCENY) W/2+ PRIOR CONVICTIONS (F),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,COMMERCIAL BURGLARY,,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,GRAND THEFT (Shoplifting) (F),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,DUI DRUG (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,PETTY THEFT (SHOPLIFT) W/2+ PRIOR CONVICTIONS (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,PETTY THEFT(Shoplift) (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,PETTY THEFT(Shoplift) (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,DISORD CONDUCT:ALC (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,PETTY THEFT(All Other Larceny) (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,TREATMENT-MANDATED HARD DRUGS W/2 OR MORE PRIOR CONVICTIONS (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,PETTY THEFT(Shoplift) (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,FRAUD,,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,DISORDERLY CONDUCT:UNDER INFLUENCE OF DRUG (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,POSSESS CONTROLLED SUBSTANCE (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,POSS CONTROLLED SUBS PARAPHERNALIA (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,USE/UNDER INFL OF CONTROLLED SUBS (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,ASSAULT W/DEADLY WEAPON:NOT F/ARM (F),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,PETTY THEFT(Shoplift) (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,SHOPLIFTING (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,SHOPLIFTING (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,COMMERCIAL BURGLARY,,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,POSS CONTROLLED SUBS PARAPHERNALIA (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,SIMPLE BATTERY (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,POSSESS/PURCHASE FOR SALE NARCOTIC/CONTROLLED SUBSTANCE (F),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,PETTY THEFT(All Other Larceny) (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,SHOPLIFTING (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,DUI ALCOHOL (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
